Price,Bedrooms,Bathrooms,Area,Location
"EGP 2,520,000",3,2,140 SQM,"Smoha, Alexandria•"
"EGP 2,300,000",3,2,155 SQM,"Sporting, Alexandria•"
"EGP 2,950,000",3,3,220 SQM,"San Stefano, Alexandria•"
"EGP 1,962,000",2,2,111 SQM,"Smoha, Alexandria•"
"EGP 3,562,500",3,3,142.5 SQM,"Smoha, Alexandria•"
"EGP 3,500,000",3,2,250 SQM,"Smoha, Alexandria•"
"EGP 3,100,000",3,2,193 SQM,"Roushdy, Alexandria•"
"EGP 720,000",2,1,100 SQM,"Sidi Beshr, Alexandria•"
"EGP 1,962,000",2,2,111 SQM,"Smoha, Alexandria•"
"EGP 2,500,000",3,2,90 SQM,"Maamoura, Alexandria•"
"EGP 4,000,000Negotiable",3,1,175 SQM,"San Stefano, Alexandria•"
"EGP 1,700,000",3,2,135 SQM,"Roushdy, Alexandria•"
"EGP 2,780,000Negotiable",5,2,215 SQM,"Roushdy, Alexandria•"
"EGP 4,850,000",3,3,262 SQM,"Laurent, Alexandria•"
"EGP 585,000Negotiable",3,1,100 SQM,"Miami, Alexandria•"
"EGP 550,000Negotiable",3,2,300 SQM,"Nakheel, Alexandria•"
"EGP 2,000,000Negotiable",6,2,250 SQM,"Kafr Abdo, Alexandria•"
"EGP 7,200,000",4,3,40 SQM,"Sporting, Alexandria•"
"EGP 1,000,000",3,2,135 SQM,"Maamoura, Alexandria•"
"EGP 350,000Negotiable",2,1,286 SQM,"Amreya, Alexandria•"
"EGP 2,350,000",3,2,156 SQM,"Moharam Bik, Alexandria•"
"EGP 1,300,000Negotiable",3,2,170 SQM,"Glim, Alexandria•"
"EGP 750,000Negotiable",2,1,110 SQM,"Gianaclis, Alexandria•"
"EGP 315,000Negotiable",2,2,130 SQM,"Nakheel, Alexandria•"
"EGP 270,000Negotiable",2,1,100 SQM,"Nakheel, Alexandria•"
"EGP 1,800,000",2,1,135 SQM,"Laurent, Alexandria•"
"EGP 3,780,000",3,2,168 SQM,"Moharam Bik, Alexandria•"
"EGP 3,788,100",3,2,183 SQM,"Smoha, Alexandria•"
"EGP 3,222,000",3,2,176 SQM,"Smoha, Alexandria•"
"EGP 280,000Negotiable",2,1,90 SQM,"Nakheel, Alexandria•"
"EGP 320,000",2,1,50 SQM,"Victoria, Alexandria•"
"EGP 1,900,000",3,1,151 SQM,"Cleopatra, Alexandria•"
"EGP 640,000Negotiable",3,2,150 SQM,"Nakheel, Alexandria•"
"EGP 440,000Negotiable",2,2,300 SQM,"Nakheel, Alexandria•"
"EGP 320,000Negotiable",2,1,135 SQM,"Nakheel, Alexandria•"
"EGP 360,000Negotiable",2,1,120 SQM,"Nakheel, Alexandria•"
"EGP 2,100,000",3,2,144 SQM,"Smoha, Alexandria•"
"EGP 1,750,000",3,2,150 SQM,"Laurent, Alexandria•"
"EGP 1,166,200",3,2,119 SQM,"Mandara, Alexandria•"
"EGP 1,100,000",3,2,180 SQM,"Laurent, Alexandria•"
"EGP 3,000,000",3,3,195 SQM,"Kafr Abdo, Alexandria•"
"EGP 580,000Negotiable",3,2,150 SQM,"Nakheel, Alexandria•"
"EGP 440,000Negotiable",2,2,135 SQM,"Nakheel, Alexandria•"
"EGP 270,000Negotiable",2,1,90 SQM,"Nakheel, Alexandria•"
"EGP 320,000Negotiable",2,2,140 SQM,"Nakheel, Alexandria•"
"EGP 470,000Negotiable",2,2,135 SQM,"Nakheel, Alexandria•"
"EGP 1,650,000",3,1,135 SQM,"Sidi Gaber, Alexandria•"
"EGP 1,050,000",3,2,135 SQM,"Miami, Alexandria•"
"EGP 1,700,000Negotiable",3,1,120 SQM,"Cleopatra, Alexandria•"
"EGP 1,600,000",4,1,105 SQM,"Smoha, Alexandria•"
"EGP 900,000Negotiable",3,1,115 SQM,"Cleopatra, Alexandria•"
"EGP 1,750,000",3,2,180 SQM,"Smoha, Alexandria•"
"EGP 1,000,000Negotiable",3,1,110 SQM,"Laurent, Alexandria•"
"EGP 1,700,000Negotiable",3,1,140 SQM,"Kafr Abdo, Alexandria•"
"EGP 1,950,000Negotiable",2,2,125 SQM,"Smoha, Alexandria•"
"EGP 400,000Negotiable",3,1,90 SQM,"Seyouf, Alexandria•"
"EGP 2,200,000",3,2,150 SQM,"Glim, Alexandria•"
"EGP 310,000Negotiable",2,1,120 SQM,"Nakheel, Alexandria•"
"EGP 650,000",3,1,117 SQM,"Seyouf, Alexandria•"
"EGP 11,200,000",4,4,460 SQM,"Laurent, Alexandria•"
"EGP 1,950,000Negotiable",3,2,155 SQM,"Sidi Gaber, Alexandria•"
"EGP 1,600,000",4,1,102 SQM,"Smoha, Alexandria•"
"EGP 1,200,000",2,1,125 SQM,"Smoha, Alexandria•"
"EGP 230,000",1,1,65 SQM,"Agami, Alexandria•"
"EGP 410,000Negotiable",2,1,160 SQM,"Nakheel, Alexandria•"
"EGP 275,000",2,1,100 SQM,"Nakheel, Alexandria•"
"EGP 320,000Negotiable",2,1,110 SQM,"Nakheel, Alexandria•"
"EGP 400,000",3,1,125 SQM,"Agami, Alexandria•"
"EGP 350,000Negotiable",2,1,100 SQM,"Nakheel, Alexandria•"
"EGP 350,000",2,1,100 SQM,"Agami, Alexandria•"
"EGP 2,100,000",3,2,178 SQM,"Camp Caesar, Alexandria•"
"EGP 1,800,000",2,1,120 SQM,"Roushdy, Alexandria•"
"EGP 2,700,000",3,3,238 SQM,"Smoha, Alexandria•"
"EGP 430,000Negotiable",3,2,130 SQM,"Nakheel, Alexandria•"
"EGP 320,000Negotiable",3,1,125 SQM,"Nakheel, Alexandria•"
"EGP 460,000Negotiable",3,2,120 SQM,"Nakheel, Alexandria•"
"EGP 290,000Negotiable",3,1,120 SQM,"Nakheel, Alexandria•"
"EGP 480,000Negotiable",3,1,140 SQM,"Nakheel, Alexandria•"
"EGP 240,000Negotiable",2,1,85 SQM,"Nakheel, Alexandria•"
"EGP 420,000Negotiable",3,2,260 SQM,"Nakheel, Alexandria•"
"EGP 365,000Negotiable",3,1,130 SQM,"Nakheel, Alexandria•"
"EGP 490,000Negotiable",3,1,140 SQM,"Nakheel, Alexandria•"
"EGP 150,000Negotiable",2,1,90 SQM,"Nakheel, Alexandria•"
"EGP 270,000Negotiable",2,1,90 SQM,"Nakheel, Alexandria•"
"EGP 2,530,000",3,2,165 SQM,"Smoha, Alexandria•"
"EGP 1,000,000",3,1,147 SQM,"Miami, Alexandria•"
"EGP 650,000Negotiable",2,1,108 SQM,"Smoha, Alexandria•"
"EGP 950,000Negotiable",3,2,185 SQM,"Smoha, Alexandria•"
"EGP 390,000Negotiable",4,2,230 SQM,"Nakheel, Alexandria•"
"EGP 1,300,000Negotiable",3,2,202 SQM,"Smoha, Alexandria•"
"EGP 1,800,000",3,2,340 SQM,"Sidi Beshr, Alexandria•"
"EGP 2,500,000",3,3,144 SQM,"Mandara, Alexandria•"
"EGP 320,000Negotiable",2,1,120 SQM,"Nakheel, Alexandria•"
"EGP 315,000Negotiable",2,1,100 SQM,"Nakheel, Alexandria•"
"EGP 880,000Negotiable",5,3,300 SQM,"Nakheel, Alexandria•"
"EGP 1,425,000",2,1,126 SQM,"Roushdy, Alexandria•"
"EGP 130,000",2,1,70 SQM,"Abu Qir, Alexandria•"
"EGP 1,150,000",3,1,135 SQM,"Miami, Alexandria•"
"EGP 2,100,000",3,2,150 SQM,"Glim, Alexandria•"
"EGP 4,500,000Negotiable",3,3,230 SQM,"Roushdy, Alexandria•"
"EGP 450,000Negotiable",3,1,140 SQM,"Nakheel, Alexandria•"
"EGP 2,500,000",3,2,155 SQM,"Kafr Abdo, Alexandria•"
"EGP 280,000Negotiable",2,1,180 SQM,"Nakheel, Alexandria•"
"EGP 486,000",3,3,202 SQM,"Moharam Bik, Alexandria•"
"EGP 2,850,000Negotiable",3,1,102.5 SQM,"Smoha, Alexandria•"
"EGP 1,500,000",2,1,125 SQM,"Smoha, Alexandria•"
"EGP 250,000Negotiable",2,1,86 SQM,"Agami, Alexandria•"
"EGP 675,000Negotiable",3,1,100 SQM,"Smoha, Alexandria•"
"EGP 1,500,000Negotiable",4,2,180 SQM,"Agami, Alexandria•"
"EGP 950,000",2,1,105 SQM,"Moharam Bik, Alexandria•"
"EGP 1,450,000",3,2,170 SQM,"Seyouf, Alexandria•"
"EGP 650,000",3,2,140 SQM,"Agami, Alexandria•"
"EGP 1,400,000Negotiable",2,1,116 SQM,"Sidi Gaber, Alexandria•"
"EGP 3,510,000",3,2,135 SQM,"Smoha, Alexandria•"
"EGP 275,000Negotiable",3,1,100 SQM,"Seyouf, Alexandria•"
"EGP 2,000,000",2,1,120 SQM,"Sidi Gaber, Alexandria•"
"EGP 1,125,000",3,1,125 SQM,"Miami, Alexandria•"
"EGP 1,750,000Negotiable",3,2,170 SQM,"Laurent, Alexandria•"
"EGP 1,080,000Negotiable",2,1,135 SQM,"Miami, Alexandria•"
"EGP 355,000",2,1,75 SQM,"Mandara, Alexandria•"
"EGP 700,000",3,1,90 SQM,"Al Ibrahimiyyah, Alexandria•"
"EGP 1,600,000Negotiable",2,1,120 SQM,"Maamoura, Alexandria•"
"EGP 275,000",3,2,380 SQM,"Agami, Alexandria•"
"EGP 3,400,000",3,2,135 SQM,"Stanley, Alexandria•"
"EGP 2,400,000",3,2,175 SQM,"Roushdy, Alexandria•"
"EGP 1,850,000",3,2,160 SQM,"Fleming, Alexandria•"
"EGP 2,100,000",3,2,175 SQM,"Smoha, Alexandria•"
"EGP 650,000",2,1,80 SQM,"Seyouf, Alexandria•"
"EGP 720,000",3,1,100 SQM,"Agami, Alexandria•"
"EGP 1,700,000",3,2,200 SQM,"Bolkly, Alexandria•"
"EGP 290,000Negotiable",2,1,100 SQM,"Nakheel, Alexandria•"
"EGP 750,000",2,1,85 SQM,"Montazah, Alexandria•"
"EGP 390,000Negotiable",2,1,110 SQM,"Nakheel, Alexandria•"
"EGP 850,000",2,1,100 SQM,"Mandara, Alexandria•"
"EGP 475,000",3,1,115 SQM,"Agami, Alexandria•"
"EGP 450,000Negotiable",2,1,75 SQM,"Mandara, Alexandria•"
"EGP 550,000",2,1,75 SQM,"Sidi Gaber, Alexandria•"
"EGP 1,600,000",2,2,120 SQM,"Roushdy, Alexandria•"
"EGP 350,000Negotiable",3,1,120 SQM,"Nakheel, Alexandria•"
"EGP 280,000Negotiable",2,1,120 SQM,"Nakheel, Alexandria•"
"EGP 1,600,000",3,2,140 SQM,"Laurent, Alexandria•"
"EGP 4,500,000",3,3,210 SQM,"Roushdy, Alexandria•"
"EGP 2,034,000",2,2,113 SQM,"Smoha, Alexandria•"
"EGP 950,000",2,1,95 SQM,"Gianaclis, Alexandria•"
"EGP 3,818,000",3,2,184 SQM,"Smoha, Alexandria•"
"EGP 2,200,000",3,2,160 SQM,"Saba Pasha, Alexandria•"
"EGP 2,957,500",3,2,169 SQM,"Smoha, Alexandria•"
"EGP 2,720,000",3,2,160 SQM,"Smoha, Alexandria•"
"EGP 2,720,000",3,2,160 SQM,"Smoha, Alexandria•"
"EGP 2,560,000",3,2,160 SQM,"Smoha, Alexandria•"
"EGP 4,551,000",3,2,202 SQM,"Moharam Bik, Alexandria•"
"EGP 11,000,000",3,4,270 SQM,"San Stefano, Alexandria•"
"EGP 3,154,000",3,3,152 SQM,"Smoha, Alexandria•"
"EGP 2,720,000",3,2,160 SQM,"Smoha, Alexandria•"
"EGP 3,154,000",3,3,152 SQM,"Smoha, Alexandria•"
"EGP 2,720,000",3,2,160 SQM,"Smoha, Alexandria•"
"EGP 3,780,000",3,2,168 SQM,"Moharam Bik, Alexandria•"
"EGP 4,551,000",3,2,202 SQM,"Moharam Bik, Alexandria•"
"EGP 3,960,000",3,3,152 SQM,"Smoha, Alexandria•"
"EGP 2,560,000",3,2,160 SQM,"Smoha, Alexandria•"
"EGP 4,451,000",3,2,177 SQM,"Moharam Bik, Alexandria•"
"EGP 4,200,000",3,3,245 SQM,"Smoha, Alexandria•"
"EGP 1,962,000",2,2,111 SQM,"Smoha, Alexandria•"
"EGP 3,500,000",3,3,210 SQM,"Smoha, Alexandria•"
"EGP 2,850,000",3,2,180 SQM,"Smoha, Alexandria•"
"EGP 2,250,000",3,2,215 SQM,"Smoha, Alexandria•"
"EGP 1,800,000",3,2,155 SQM,"Smoha, Alexandria•"
"EGP 2,000,000",4,2,200 SQM,"Smoha, Alexandria•"
"EGP 300,000",2,1,60 SQM,"Cleopatra, Alexandria•"
"EGP 1,650,000",3,1,133 SQM,"Smoha, Alexandria•"
"EGP 5,400,000Negotiable",6,5,233 SQM,"Kafr Abdo, Alexandria•"
"EGP 1,800,000",1,2,121 SQM,"Azarita, Alexandria•"
"EGP 4,400,000Negotiable",3,3,198 SQM,"Kafr Abdo, Alexandria•"
"EGP 3,000,000Negotiable",4,2,310 SQM,"Smoha, Alexandria•"
"EGP 2,650,000",3,2,200 SQM,"Roushdy, Alexandria•"
"EGP 140,000Negotiable",2,1,80 SQM,"Nakheel, Alexandria•"
"EGP 600,000Negotiable",2,1,100 SQM,"Asafra, Alexandria•"
"EGP 210,000Negotiable",2,1,85 SQM,"Nakheel, Alexandria•"
"EGP 1,900,000",3,2,135 SQM,"Laurent, Alexandria•"
"EGP 2,200,000",3,2,150 SQM,"Glim, Alexandria•"
"EGP 1,400,000",3,1,150 SQM,"Cleopatra, Alexandria•"
"EGP 410,000Negotiable",3,1,105 SQM,"Agami, Alexandria•"
